"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"09_2_24","0.56 (0.44, 0.72)","0.59 (0.51, 0.71)","L00_99","0.2","0.59 (0.5, 0.68)","cj20_J22","0.11","0.59 (0.5, 0.68)","a10_b99_nopneumo","0.11","0.59 (0.51, 0.68)"
"09_2_25","0.53 (0.41, 0.69)","0.76 (0.54, 0.9)","cj20_J22","0.8","0.8 (0.69, 0.91)","E00_99","0.46","0.8 (0.7, 0.9)","P00_99","0.38","0.81 (0.71, 0.91)"
"09_2_26","0.48 (0.35, 0.66)","0.66 (0.53, 0.8)","cj20_J22","1","0.91 (0.44, 1.2)","P05_07","0.35","0.95 (0.52, 1.23)","P00_99","0.34","0.94 (0.47, 1.25)"
"09_2_27","0.48 (0.37, 0.64)","0.73 (0.56, 0.86)","a10_b99_nopneumo","0.06","0.73 (0.6, 0.87)","P00_99","0.05","0.73 (0.63, 0.87)","E40_46","0.04","0.73 (0.62, 0.86)"
"09_2_28","0.39 (0.29, 0.53)","0.64 (0.46, 0.91)","cj20_J22","0.72","0.61 (0.47, 0.87)","P00_99","0.64","0.6 (0.48, 0.77)","K00_99","0.23","0.6 (0.48, 0.82)"
"09_2_29","0.66 (0.58, 0.74)","0.56 (0.51, 0.63)","P00_99","1","0.66 (0.57, 0.76)","a10_b99_nopneumo","0.28","0.7 (0.61, 0.77)","E00_99","0.16","0.71 (0.61, 0.78)"
"09_3_31","0.66 (0.54, 0.83)","0.55 (0.46, 0.66)","cj20_J22","1","0.59 (0.5, 0.72)","E00_99","0.65","0.66 (0.52, 0.8)","P00_99","0.63","0.6 (0.52, 0.77)"
"09_3_32","0.48 (0.37, 0.61)","0.46 (0.39, 0.53)","cj20_J22","1","0.61 (0.45, 0.85)","N00_99","0.22","0.61 (0.45, 0.84)","P00_99","0.08","0.76 (0.63, 0.89)"
"09_3_33","0.52 (0.41, 0.66)","0.75 (0.64, 0.85)","cj20_J22","1","0.68 (0.57, 0.81)","E00_99","0.98","0.68 (0.53, 0.78)","Z00_99","0.17","0.68 (0.6, 0.76)"
"09_3_35","0.98 (0.79, 1.19)","0.94 (0.87, 1.02)","cj20_J22","1","1.03 (0.85, 1.16)","D50_89","1","0.86 (0.71, 1.09)","E00_99","0.97","0.99 (0.84, 1.16)"
"09_4_41","0.94 (0.78, 1.11)","0.82 (0.64, 1.02)","cj20_J22","1","0.8 (0.71, 0.91)","a10_b99_nopneumo","0.78","0.81 (0.73, 0.95)","P00_99","0.65","0.8 (0.72, 0.94)"
"09_4_42","0.92 (0.76, 1.11)","0.68 (0.59, 0.83)","cj20_J22","1","0.77 (0.66, 0.98)","P00_99","0.22","0.76 (0.66, 0.9)","P05_07","0.11","0.73 (0.65, 0.83)"
"09_4_43","1.02 (0.87, 1.18)","0.83 (0.74, 0.92)","cj20_J22","1","0.89 (0.77, 1.01)","E00_99","0.93","0.9 (0.79, 1.01)","a10_b99_nopneumo","0.35","0.9 (0.77, 1.02)"
"09_5_50","0.7 (0.53, 0.91)","0.77 (0.67, 0.89)","cj20_J22","1","0.78 (0.66, 0.91)","P00_99","0.9","0.9 (0.74, 1.04)","P05_07","0.19","0.89 (0.75, 1.04)"
"09_5_51","0.77 (0.6, 0.99)","0.72 (0.62, 0.81)","cj20_J22","1","0.67 (0.56, 0.77)","K00_99","0.66","0.65 (0.56, 0.79)","a10_b99_nopneumo","0.33","0.65 (0.55, 0.77)"
"09_5_52","0.76 (0.53, 1.1)","0.58 (0.5, 0.68)","cj20_J22","1","0.79 (0.62, 1.01)","pandemic","0.12","0.78 (0.59, 0.95)","S00_T99","0.08","0.79 (0.61, 0.96)"
"09_5_53","0.75 (0.53, 1.04)","0.44 (0.36, 0.56)","cj20_J22","1","0.59 (0.47, 0.8)","a10_b99_nopneumo","0.6","0.61 (0.48, 0.8)","A41","0.21","0.61 (0.49, 0.8)"
"09_1_AA","0.87 (0.72, 1.04)","0.91 (0.82, 1.01)","cj20_J22","1","0.85 (0.78, 0.94)","P00_99","1","0.85 (0.78, 0.94)","L00_99","0.27","0.85 (0.78, 0.93)"
"09_2_AA","0.58 (0.49, 0.68)","0.57 (0.53, 0.63)","A41","1","0.66 (0.57, 0.73)","cj20_J22","1","0.72 (0.6, 0.79)","K00_99","0.17","0.7 (0.61, 0.78)"
"09_3_AA","0.75 (0.64, 0.91)","0.76 (0.7, 0.84)","cj20_J22","1","0.92 (0.65, 1.07)","E00_99","0.69","0.8 (0.63, 0.97)","E40_46","0.67","0.85 (0.73, 1.06)"
"09_4_AA","0.96 (0.83, 1.09)","0.75 (0.66, 0.87)","cj20_J22","0.86","0.81 (0.73, 0.89)","E40_46","0.39","0.8 (0.72, 0.89)","K00_99","0.25","0.82 (0.75, 0.93)"
"09_5_AA","0.78 (0.61, 0.98)","0.68 (0.58, 0.78)","cj20_J22","1","0.73 (0.54, 0.89)","K00_99","0.83","0.65 (0.43, 0.89)","A41","0.32","0.71 (0.47, 0.92)"
"09_A_AA","0.74 (0.67, 0.83)","0.75 (0.71, 0.78)","E40_46","1","0.86 (0.79, 0.93)","cj20_J22","1","0.77 (0.72, 0.88)","I00_99","0.12","0.79 (0.67, 0.88)"
